Level	Date and Time	Source	Event ID	Task Category
Information	7/16/2026 2:14:32 AM	OpenSSH	4	None	sshd: Accepted password for Administrator from 192.168.56.1 port 12003 ssh2
Information	7/16/2026 2:14:32 AM	Microsoft-Windows-Security-Auditing	4624	Logon	"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-9FUGMAJHHI2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		8
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		WIN-9FUGMAJHHI2\Administrator
	Account Name:		Administrator
	Account Domain:		WIN-9FUGMAJHHI2
	Logon ID:		0x780EE
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x88c
	Process Name:		C:\Windows\System32\OpenSSH\sshd.exe

Network Information:
	Workstation Name:	WIN-9FUGMAJHHI2
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Information	7/16/2026 2:12:26 AM	OpenSSH	4	None	sshd: Server listening on 0.0.0.0 port 22.
Information	7/16/2026 2:12:26 AM	OpenSSH	4	None	sshd: Server listening on :: port 22.
Information	7/16/2026 12:25:50 AM	OpenSSH	4	None	sshd: Received signal 8; terminating.
Information	7/15/2026 7:38:13 PM	OpenSSH	4	None	sshd: Connection closed by authenticating user Administrator 10.0.2.15 port 55562 [preauth]
Information	7/15/2026 7:38:12 PM	OpenSSH	4	None	sshd: Failed password for Administrator from 10.0.2.15 port 55562 ssh2
Information	7/15/2026 7:38:12 PM	Microsoft-Windows-Security-Auditing	4625	Logon	"An account failed to log on.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-9FUGMAJHHI2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Type:			8

Account For Which Logon Failed:
	Security ID:		NULL SID
	Account Name:		administrator
	Account Domain:		WIN-9FUGMAJHHI2

Failure Information:
	Failure Reason:		Unknown user name or bad password.
	Status:			0xC000006D
	Sub Status:		0xC000006A

Process Information:
	Caller Process ID:	0x2fc
	Caller Process Name:	C:\Windows\System32\OpenSSH\sshd.exe

Network Information:
	Workstation Name:	WIN-9FUGMAJHHI2
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon request fails. It is generated on the computer where access was attempted.

The Subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The Logon Type field indicates the kind of logon that was requested. The most common types are 2 (interactive) and 3 (network).

The Process Information fields indicate which account and process on the system requested the logon.

The Network Information fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The authentication information fields provide detailed information about this specific logon request.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Information	7/15/2026 7:38:10 PM	OpenSSH	4	None	sshd: Failed password for Administrator from 10.0.2.15 port 55562 ssh2
Information	7/15/2026 7:38:10 PM	Microsoft-Windows-Security-Auditing	4625	Logon	"An account failed to log on.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-9FUGMAJHHI2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Type:			8

Account For Which Logon Failed:
	Security ID:		NULL SID
	Account Name:		administrator
	Account Domain:		WIN-9FUGMAJHHI2

Failure Information:
	Failure Reason:		Unknown user name or bad password.
	Status:			0xC000006D
	Sub Status:		0xC000006A

Process Information:
	Caller Process ID:	0x2fc
	Caller Process Name:	C:\Windows\System32\OpenSSH\sshd.exe

Network Information:
	Workstation Name:	WIN-9FUGMAJHHI2
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon request fails. It is generated on the computer where access was attempted.

The Subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The Logon Type field indicates the kind of logon that was requested. The most common types are 2 (interactive) and 3 (network).

The Process Information fields indicate which account and process on the system requested the logon.

The Network Information fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The authentication information fields provide detailed information about this specific logon request.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
